-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
_5x_cudnn_maxwell_scudnn_winograd_128x128_ldg1_ldg4_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.913ms        35.72%       3.913ms     122.272us            32  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.092ms        19.10%       2.092ms       2.092ms             1  
void op_generic_tensor_kernel<3, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.347ms        12.30%       1.347ms      23.225us            58  
void onnxruntime::cuda::_UnaryElementWise<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us       1.066ms         9.73%       1.066ms      29.618us            36  
void onnxruntime::cuda::_BinaryElementWiseSimple<tru...         0.00%       0.000us         0.00%       0.000us       0.000us     434.382us         3.97%     434.382us      27.149us            16  
       _5x_cudnn_maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     318.732us         2.91%     318.732us     106.244us             3  
void cudnn::winograd::generateWinogradTilesKernel<1,...         0.00%       0.000us         0.00%       0.000us       0.000us     315.879us         2.88%     315.879us       9.871us            32  
       _5x_cudnn_maxwell_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     270.730us         2.47%     270.730us      90.243us             3  
_5x_cudnn_maxwell_scudnn_winograd_128x128_ldg1_ldg4_...         0.00%       0.000us         0.00%       0.000us       0.000us     265.031us         2.42%     265.031us      24.094us            11  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     242.218us         2.21%     242.218us      60.555us             4  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     168.041us         1.53%     168.041us      18.671us             9  
void cudnn::pooling_fw_4d_kernel<float, float, cudnn...         0.00%       0.000us         0.00%       0.000us       0.000us     156.262us         1.43%     156.262us     156.262us             1  
void cudnn::pooling_fw_4d_kernel<float, float, cudnn...         0.00%       0.000us         0.00%       0.000us       0.000us      73.571us         0.67%      73.571us      24.524us             3  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us      59.011us         0.54%      59.011us       5.365us            11  
                                 maxwell_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      50.434us         0.46%      50.434us      25.217us             2  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      45.152us         0.41%      45.152us       5.017us             9  
